subject,electrode_idx,model,condition,layer,time_window,test_R_2,train_R_2,best_alpha,cv_R_2_mean
2,93,BERT,GS,late,full_consolidation,1.0,1.0,10.0,1.0
2,93,BERT,GS,last,full_consolidation,1.0,1.0,10.0,1.0
2,93,BERT,GNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,93,BERT,GNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,93,BERT,GNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,93,BERT,GNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,93,BERT,NGNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,93,BERT,NGNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,93,BERT,NGNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,93,BERT,NGNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,94,BERT,overall,early,full_consolidation,1.0,1.0,10.0,1.0
2,94,BERT,overall,middle,full_consolidation,1.0,1.0,10.0,1.0
2,94,BERT,overall,late,full_consolidation,1.0,1.0,10.0,1.0
2,94,BERT,overall,last,full_consolidation,1.0,1.0,10.0,1.0
2,94,BERT,a,early,full_consolidation,1.0,1.0,10.0,1.0
2,94,BERT,a,middle,full_consolidation,1.0,1.0,10.0,1.0
2,94,BERT,a,late,full_consolidation,1.0,1.0,10.0,1.0
2,94,BERT,a,last,full_consolidation,1.0,1.0,10.0,1.0
2,94,BERT,v,early,full_consolidation,1.0,1.0,10.0,1.0
2,94,BERT,v,middle,full_consolidation,1.0,1.0,10.0,1.0
2,94,BERT,v,late,full_consolidation,1.0,1.0,10.0,1.0
2,94,BERT,v,last,full_consolidation,1.0,1.0,10.0,1.0
2,94,BERT,GS,early,full_consolidation,1.0,1.0,10.0,1.0
2,94,BERT,GS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,94,BERT,GS,late,full_consolidation,1.0,1.0,10.0,1.0
2,94,BERT,GS,last,full_consolidation,1.0,1.0,10.0,1.0
2,94,BERT,GNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,94,BERT,GNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,94,BERT,GNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,94,BERT,GNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,94,BERT,NGNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,94,BERT,NGNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,94,BERT,NGNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,94,BERT,NGNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,95,BERT,overall,early,full_consolidation,1.0,1.0,10.0,1.0
2,95,BERT,overall,middle,full_consolidation,1.0,1.0,10.0,1.0
2,95,BERT,overall,late,full_consolidation,1.0,1.0,10.0,1.0
2,95,BERT,overall,last,full_consolidation,1.0,1.0,10.0,1.0
2,95,BERT,a,early,full_consolidation,1.0,1.0,10.0,1.0
2,95,BERT,a,middle,full_consolidation,1.0,1.0,10.0,1.0
2,95,BERT,a,late,full_consolidation,1.0,1.0,10.0,1.0
2,95,BERT,a,last,full_consolidation,1.0,1.0,10.0,1.0
2,95,BERT,v,early,full_consolidation,1.0,1.0,10.0,1.0
2,95,BERT,v,middle,full_consolidation,1.0,1.0,10.0,1.0
2,95,BERT,v,late,full_consolidation,1.0,1.0,10.0,1.0
2,95,BERT,v,last,full_consolidation,1.0,1.0,10.0,1.0
2,95,BERT,GS,early,full_consolidation,1.0,1.0,10.0,1.0
2,95,BERT,GS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,95,BERT,GS,late,full_consolidation,1.0,1.0,10.0,1.0
2,95,BERT,GS,last,full_consolidation,1.0,1.0,10.0,1.0
2,95,BERT,GNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,95,BERT,GNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,95,BERT,GNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,95,BERT,GNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,95,BERT,NGNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,95,BERT,NGNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,95,BERT,NGNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,95,BERT,NGNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,96,BERT,overall,early,full_consolidation,1.0,1.0,10.0,1.0
2,96,BERT,overall,middle,full_consolidation,1.0,1.0,10.0,1.0
2,96,BERT,overall,late,full_consolidation,1.0,1.0,10.0,1.0
2,96,BERT,overall,last,full_consolidation,1.0,1.0,10.0,1.0
2,96,BERT,a,early,full_consolidation,1.0,1.0,10.0,1.0
2,96,BERT,a,middle,full_consolidation,1.0,1.0,10.0,1.0
2,96,BERT,a,late,full_consolidation,1.0,1.0,10.0,1.0
2,96,BERT,a,last,full_consolidation,1.0,1.0,10.0,1.0
2,96,BERT,v,early,full_consolidation,1.0,1.0,10.0,1.0
2,96,BERT,v,middle,full_consolidation,1.0,1.0,10.0,1.0
2,96,BERT,v,late,full_consolidation,1.0,1.0,10.0,1.0
2,96,BERT,v,last,full_consolidation,1.0,1.0,10.0,1.0
2,96,BERT,GS,early,full_consolidation,1.0,1.0,10.0,1.0
2,96,BERT,GS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,96,BERT,GS,late,full_consolidation,1.0,1.0,10.0,1.0
2,96,BERT,GS,last,full_consolidation,1.0,1.0,10.0,1.0
2,96,BERT,GNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,96,BERT,GNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,96,BERT,GNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,96,BERT,GNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,96,BERT,NGNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,96,BERT,NGNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,96,BERT,NGNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,96,BERT,NGNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,92,GPT,overall,early,full_consolidation,1.0,1.0,10.0,1.0
2,92,GPT,overall,middle,full_consolidation,1.0,1.0,10.0,1.0
2,92,GPT,overall,late,full_consolidation,1.0,1.0,10.0,1.0
2,92,GPT,overall,last,full_consolidation,1.0,1.0,10.0,1.0
2,92,GPT,a,early,full_consolidation,1.0,1.0,10.0,1.0
2,92,GPT,a,middle,full_consolidation,1.0,1.0,10.0,1.0
2,92,GPT,a,late,full_consolidation,1.0,1.0,10.0,1.0
2,92,GPT,a,last,full_consolidation,1.0,1.0,10.0,1.0
2,92,GPT,v,early,full_consolidation,1.0,1.0,10.0,1.0
2,92,GPT,v,middle,full_consolidation,1.0,1.0,10.0,1.0
2,92,GPT,v,late,full_consolidation,1.0,1.0,10.0,1.0
2,92,GPT,v,last,full_consolidation,1.0,1.0,10.0,1.0
2,92,GPT,GS,early,full_consolidation,1.0,1.0,10.0,1.0
2,92,GPT,GS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,92,GPT,GS,late,full_consolidation,1.0,1.0,10.0,1.0
2,92,GPT,GS,last,full_consolidation,1.0,1.0,10.0,1.0
2,92,GPT,GNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,92,GPT,GNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,92,GPT,GNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,92,GPT,GNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,92,GPT,NGNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,92,GPT,NGNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,92,GPT,NGNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,92,GPT,NGNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,93,GPT,overall,early,full_consolidation,1.0,1.0,10.0,1.0
2,93,GPT,overall,middle,full_consolidation,1.0,1.0,10.0,1.0
2,93,GPT,overall,late,full_consolidation,1.0,1.0,10.0,1.0
2,93,GPT,overall,last,full_consolidation,1.0,1.0,10.0,1.0
2,93,GPT,a,early,full_consolidation,1.0,1.0,10.0,1.0
2,93,GPT,a,middle,full_consolidation,1.0,1.0,10.0,1.0
2,93,GPT,a,late,full_consolidation,1.0,1.0,10.0,1.0
2,93,GPT,a,last,full_consolidation,1.0,1.0,10.0,1.0
2,93,GPT,v,early,full_consolidation,1.0,1.0,10.0,1.0
2,93,GPT,v,middle,full_consolidation,1.0,1.0,10.0,1.0
2,93,GPT,v,late,full_consolidation,1.0,1.0,10.0,1.0
2,93,GPT,v,last,full_consolidation,1.0,1.0,10.0,1.0
2,93,GPT,GS,early,full_consolidation,1.0,1.0,10.0,1.0
2,93,GPT,GS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,93,GPT,GS,late,full_consolidation,1.0,1.0,10.0,1.0
2,93,GPT,GS,last,full_consolidation,1.0,1.0,10.0,1.0
2,93,GPT,GNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,93,GPT,GNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,93,GPT,GNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,93,GPT,GNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,93,GPT,NGNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,93,GPT,NGNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,93,GPT,NGNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,93,GPT,NGNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,94,GPT,overall,early,full_consolidation,1.0,1.0,10.0,1.0
2,94,GPT,overall,middle,full_consolidation,1.0,1.0,10.0,1.0
2,94,GPT,overall,late,full_consolidation,1.0,1.0,10.0,1.0
2,94,GPT,overall,last,full_consolidation,1.0,1.0,10.0,1.0
2,94,GPT,a,early,full_consolidation,1.0,1.0,10.0,1.0
2,94,GPT,a,middle,full_consolidation,1.0,1.0,10.0,1.0
2,94,GPT,a,late,full_consolidation,1.0,1.0,10.0,1.0
2,94,GPT,a,last,full_consolidation,1.0,1.0,10.0,1.0
2,94,GPT,v,early,full_consolidation,1.0,1.0,10.0,1.0
2,94,GPT,v,middle,full_consolidation,1.0,1.0,10.0,1.0
2,94,GPT,v,late,full_consolidation,1.0,1.0,10.0,1.0
2,94,GPT,v,last,full_consolidation,1.0,1.0,10.0,1.0
2,94,GPT,GS,early,full_consolidation,1.0,1.0,10.0,1.0
2,94,GPT,GS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,94,GPT,GS,late,full_consolidation,1.0,1.0,10.0,1.0
2,94,GPT,GS,last,full_consolidation,1.0,1.0,10.0,1.0
2,94,GPT,GNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,94,GPT,GNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,94,GPT,GNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,94,GPT,GNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,94,GPT,NGNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,94,GPT,NGNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,94,GPT,NGNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,94,GPT,NGNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,95,GPT,overall,early,full_consolidation,1.0,1.0,10.0,1.0
2,95,GPT,overall,middle,full_consolidation,1.0,1.0,10.0,1.0
2,95,GPT,overall,late,full_consolidation,1.0,1.0,10.0,1.0
2,95,GPT,overall,last,full_consolidation,1.0,1.0,10.0,1.0
2,95,GPT,a,early,full_consolidation,1.0,1.0,10.0,1.0
2,95,GPT,a,middle,full_consolidation,1.0,1.0,10.0,1.0
2,95,GPT,a,late,full_consolidation,1.0,1.0,10.0,1.0
2,95,GPT,a,last,full_consolidation,1.0,1.0,10.0,1.0
2,95,GPT,v,early,full_consolidation,1.0,1.0,10.0,1.0
2,95,GPT,v,middle,full_consolidation,1.0,1.0,10.0,1.0
2,95,GPT,v,late,full_consolidation,1.0,1.0,10.0,1.0
2,95,GPT,v,last,full_consolidation,1.0,1.0,10.0,1.0
2,95,GPT,GS,early,full_consolidation,1.0,1.0,10.0,1.0
2,95,GPT,GS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,95,GPT,GS,late,full_consolidation,1.0,1.0,10.0,1.0
2,95,GPT,GS,last,full_consolidation,1.0,1.0,10.0,1.0
2,95,GPT,GNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,95,GPT,GNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,95,GPT,GNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,95,GPT,GNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,95,GPT,NGNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,95,GPT,NGNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,95,GPT,NGNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,95,GPT,NGNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,96,GPT,overall,early,full_consolidation,1.0,1.0,10.0,1.0
2,96,GPT,overall,middle,full_consolidation,1.0,1.0,10.0,1.0
2,96,GPT,overall,late,full_consolidation,1.0,1.0,10.0,1.0
2,96,GPT,overall,last,full_consolidation,1.0,1.0,10.0,1.0
2,96,GPT,a,early,full_consolidation,1.0,1.0,10.0,1.0
2,96,GPT,a,middle,full_consolidation,1.0,1.0,10.0,1.0
2,96,GPT,a,late,full_consolidation,1.0,1.0,10.0,1.0
2,96,GPT,a,last,full_consolidation,1.0,1.0,10.0,1.0
2,96,GPT,v,early,full_consolidation,1.0,1.0,10.0,1.0
2,96,GPT,v,middle,full_consolidation,1.0,1.0,10.0,1.0
2,96,GPT,v,late,full_consolidation,1.0,1.0,10.0,1.0
2,96,GPT,v,last,full_consolidation,1.0,1.0,10.0,1.0
2,96,GPT,GS,early,full_consolidation,1.0,1.0,10.0,1.0
2,96,GPT,GS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,96,GPT,GS,late,full_consolidation,1.0,1.0,10.0,1.0
2,96,GPT,GS,last,full_consolidation,1.0,1.0,10.0,1.0
2,96,GPT,GNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,96,GPT,GNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,96,GPT,GNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,96,GPT,GNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,96,GPT,NGNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,96,GPT,NGNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,96,GPT,NGNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,96,GPT,NGNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,92,T5,overall,early,full_consolidation,1.0,1.0,10.0,1.0
2,92,T5,overall,middle,full_consolidation,1.0,1.0,10.0,1.0
2,92,T5,overall,late,full_consolidation,1.0,1.0,10.0,1.0
2,92,T5,overall,last,full_consolidation,1.0,1.0,10.0,1.0
2,92,T5,a,early,full_consolidation,1.0,1.0,10.0,1.0
2,92,T5,a,middle,full_consolidation,1.0,1.0,10.0,1.0
2,92,T5,a,late,full_consolidation,1.0,1.0,10.0,1.0
2,92,T5,a,last,full_consolidation,1.0,1.0,10.0,1.0
2,92,T5,v,early,full_consolidation,1.0,1.0,10.0,1.0
2,92,T5,v,middle,full_consolidation,1.0,1.0,10.0,1.0
2,92,T5,v,late,full_consolidation,1.0,1.0,10.0,1.0
2,92,T5,v,last,full_consolidation,1.0,1.0,10.0,1.0
2,92,T5,GS,early,full_consolidation,1.0,1.0,10.0,1.0
2,92,T5,GS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,92,T5,GS,late,full_consolidation,1.0,1.0,10.0,1.0
2,92,T5,GS,last,full_consolidation,1.0,1.0,10.0,1.0
2,92,T5,GNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,92,T5,GNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,92,T5,GNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,92,T5,GNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,92,T5,NGNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,92,T5,NGNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,92,T5,NGNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,92,T5,NGNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,93,T5,overall,early,full_consolidation,1.0,1.0,10.0,1.0
2,93,T5,overall,middle,full_consolidation,1.0,1.0,10.0,1.0
2,93,T5,overall,late,full_consolidation,1.0,1.0,10.0,1.0
2,93,T5,overall,last,full_consolidation,1.0,1.0,10.0,1.0
2,93,T5,a,early,full_consolidation,1.0,1.0,10.0,1.0
2,93,T5,a,middle,full_consolidation,1.0,1.0,10.0,1.0
2,93,T5,a,late,full_consolidation,1.0,1.0,10.0,1.0
2,93,T5,a,last,full_consolidation,1.0,1.0,10.0,1.0
2,93,T5,v,early,full_consolidation,1.0,1.0,10.0,1.0
2,93,T5,v,middle,full_consolidation,1.0,1.0,10.0,1.0
2,93,T5,v,late,full_consolidation,1.0,1.0,10.0,1.0
2,93,T5,v,last,full_consolidation,1.0,1.0,10.0,1.0
2,93,T5,GS,early,full_consolidation,1.0,1.0,10.0,1.0
2,93,T5,GS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,93,T5,GS,late,full_consolidation,1.0,1.0,10.0,1.0
2,93,T5,GS,last,full_consolidation,1.0,1.0,10.0,1.0
2,93,T5,GNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,93,T5,GNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,93,T5,GNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,93,T5,GNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,93,T5,NGNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,93,T5,NGNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,93,T5,NGNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,93,T5,NGNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,94,T5,overall,early,full_consolidation,1.0,1.0,10.0,1.0
2,94,T5,overall,middle,full_consolidation,1.0,1.0,10.0,1.0
2,94,T5,overall,late,full_consolidation,1.0,1.0,10.0,1.0
2,94,T5,overall,last,full_consolidation,1.0,1.0,10.0,1.0
2,94,T5,a,early,full_consolidation,1.0,1.0,10.0,1.0
2,94,T5,a,middle,full_consolidation,1.0,1.0,10.0,1.0
2,94,T5,a,late,full_consolidation,1.0,1.0,10.0,1.0
2,94,T5,a,last,full_consolidation,1.0,1.0,10.0,1.0
2,94,T5,v,early,full_consolidation,1.0,1.0,10.0,1.0
2,94,T5,v,middle,full_consolidation,1.0,1.0,10.0,1.0
2,94,T5,v,late,full_consolidation,1.0,1.0,10.0,1.0
2,94,T5,v,last,full_consolidation,1.0,1.0,10.0,1.0
2,94,T5,GS,early,full_consolidation,1.0,1.0,10.0,1.0
2,94,T5,GS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,94,T5,GS,late,full_consolidation,1.0,1.0,10.0,1.0
2,94,T5,GS,last,full_consolidation,1.0,1.0,10.0,1.0
2,94,T5,GNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,94,T5,GNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,94,T5,GNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,94,T5,GNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,94,T5,NGNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,94,T5,NGNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,94,T5,NGNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,94,T5,NGNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,95,T5,overall,early,full_consolidation,1.0,1.0,10.0,1.0
2,95,T5,overall,middle,full_consolidation,1.0,1.0,10.0,1.0
2,95,T5,overall,late,full_consolidation,1.0,1.0,10.0,1.0
2,95,T5,overall,last,full_consolidation,1.0,1.0,10.0,1.0
2,95,T5,a,early,full_consolidation,1.0,1.0,10.0,1.0
2,95,T5,a,middle,full_consolidation,1.0,1.0,10.0,1.0
2,95,T5,a,late,full_consolidation,1.0,1.0,10.0,1.0
2,95,T5,a,last,full_consolidation,1.0,1.0,10.0,1.0
2,95,T5,v,early,full_consolidation,1.0,1.0,10.0,1.0
2,95,T5,v,middle,full_consolidation,1.0,1.0,10.0,1.0
2,95,T5,v,late,full_consolidation,1.0,1.0,10.0,1.0
2,95,T5,v,last,full_consolidation,1.0,1.0,10.0,1.0
2,95,T5,GS,early,full_consolidation,1.0,1.0,10.0,1.0
2,95,T5,GS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,95,T5,GS,late,full_consolidation,1.0,1.0,10.0,1.0
2,95,T5,GS,last,full_consolidation,1.0,1.0,10.0,1.0
2,95,T5,GNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,95,T5,GNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,95,T5,GNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,95,T5,GNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,95,T5,NGNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,95,T5,NGNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,95,T5,NGNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,95,T5,NGNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,96,T5,overall,early,full_consolidation,1.0,1.0,10.0,1.0
2,96,T5,overall,middle,full_consolidation,1.0,1.0,10.0,1.0
2,96,T5,overall,late,full_consolidation,1.0,1.0,10.0,1.0
2,96,T5,overall,last,full_consolidation,1.0,1.0,10.0,1.0
2,96,T5,a,early,full_consolidation,1.0,1.0,10.0,1.0
2,96,T5,a,middle,full_consolidation,1.0,1.0,10.0,1.0
2,96,T5,a,late,full_consolidation,1.0,1.0,10.0,1.0
2,96,T5,a,last,full_consolidation,1.0,1.0,10.0,1.0
2,96,T5,v,early,full_consolidation,1.0,1.0,10.0,1.0
2,96,T5,v,middle,full_consolidation,1.0,1.0,10.0,1.0
2,96,T5,v,late,full_consolidation,1.0,1.0,10.0,1.0
2,96,T5,v,last,full_consolidation,1.0,1.0,10.0,1.0
2,96,T5,GS,early,full_consolidation,1.0,1.0,10.0,1.0
2,96,T5,GS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,96,T5,GS,late,full_consolidation,1.0,1.0,10.0,1.0
2,96,T5,GS,last,full_consolidation,1.0,1.0,10.0,1.0
2,96,T5,GNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,96,T5,GNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,96,T5,GNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,96,T5,GNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,96,T5,NGNS,early,full_consolidation,1.0,1.0,10.0,1.0
2,96,T5,NGNS,middle,full_consolidation,1.0,1.0,10.0,1.0
2,96,T5,NGNS,late,full_consolidation,1.0,1.0,10.0,1.0
2,96,T5,NGNS,last,full_consolidation,1.0,1.0,10.0,1.0
2,81,BERT,GS,early,full_consolidation,0.12480980157852173,0.34799081087112427,1389.4954943731375,-0.0543480396270752
3,143,BERT,a,early,full_consolidation,0.13674068450927734,0.30612248182296753,1389.4954943731375,-0.013275229930877685
3,143,BERT,v,last,full_consolidation,0.12254166603088379,0.4417989253997803,1389.4954943731375,-0.040239572525024414
3,162,BERT,a,early,full_consolidation,0.10968589782714844,0.1701539158821106,7196.856730011521,-0.07192643880844116
3,36,GPT,a,late,full_consolidation,0.170518159866333,0.12075716257095337,37275.93720314938,-0.8270370364189148
3,113,T5,a,late,full_consolidation,0.17519116401672363,0.681381106376648,1389.4954943731375,-0.11939476728439331
3,164,T5,a,late,full_consolidation,0.10392963886260986,0.7356401681900024,1389.4954943731375,-0.0682443380355835
3,55,T5,a,last,full_consolidation,0.11341416835784912,0.7715513110160828,1389.4954943731375,-0.32170332670211793
